Pathway,Subject,Skills_Required,Competency_Type,Career,Industry_Sector
TVET,Hospitality,"Customer service, Troubleshooting, Manual dexterity",Learning to Learn,Plumber,Manufacturing
TVET,Welding,"Customer service, Technical skills, Manual dexterity",Self-Efficacy,Hotel Manager,Skilled Trades
Arts & Sports,Graphic Design,"Design thinking, Teamwork, Performance",Communication & Collaboration,Art Director,Creative Arts
STEM,Biology,"Programming, Experimentation, Critical thinking",Critical Thinking & Problem Solving,Data Scientist,Healthcare
STEM,Physics,"Data analysis, Problem solving, Critical thinking",Critical Thinking & Problem Solving,Civil Engineer,Environmental Services
STEM,Physics,"Research, Programming, Data analysis",Digital Literacy,Civil Engineer,Technology
Arts & Sports,Graphic Design,"Design thinking, Public speaking, Teamwork",Communication & Collaboration,Musician,Sports Industry
Business,Accounting,"Strategic planning, Leadership, Financial literacy",Learning to Learn,Operations Manager,Retail
STEM,Mathematics,"Critical thinking, Experimentation, Data analysis",Learning to Learn,Environmental Analyst,Environmental Services
TVET,Carpentry,"Technical skills, Safety compliance, Manual dexterity",Learning to Learn,Auto Mechanic,Skilled Trades
Business,Business Studies,"Strategic planning, Negotiation, Financial literacy",Communication & Collaboration,Marketing Manager,Corporate Sector
TVET,Electrical Installation,"Entrepreneurship, Safety compliance, Customer service",Learning to Learn,Auto Mechanic,Hospitality
STEM,Chemistry,"Programming, Analytical reasoning, Problem solving",Learning to Learn,Doctor,Engineering
TVET,Electrical Installation,"Manual dexterity, Customer service, Troubleshooting",Learning to Learn,Construction Technician,Hospitality
STEM,Physics,"Experimentation, Problem solving, Critical thinking",Critical Thinking & Problem Solving,Laboratory Technologist,Technology
STEM,Environmental Science,"Programming, Analytical reasoning, Problem solving",Critical Thinking & Problem Solving,Actuary,Technology
STEM,Mathematics,"Analytical reasoning, Critical thinking, Data analysis",Digital Literacy,Data Scientist,Environmental Services
STEM,Mathematics,"Data analysis, Experimentation, Programming",Digital Literacy,Laboratory Technologist,Technology
TVET,Welding,"Safety compliance, Technical skills, Entrepreneurship",Learning to Learn,Hotel Manager,Construction
Social Sciences,Religious Studies,"Critical thinking, Writing, Policy analysis",Citizenship,Policy Analyst,Education
Business,Business Studies,"Leadership, Financial literacy, Risk management",Self-Efficacy,Accountant,Retail
TVET,Carpentry,"Technical skills, Safety compliance, Customer service",Self-Efficacy,Construction Technician,Manufacturing
TVET,Plumbing,"Manual dexterity, Safety compliance, Maintenance",Self-Efficacy,Fashion Designer,Hospitality
Arts & Sports,Drama,"Performance, Public speaking, Teamwork",Communication & Collaboration,Choreographer,Entertainment
Social Sciences,Psychology,"Ethical reasoning, Critical thinking, Data interpretation",Critical Thinking & Problem Solving,Social Worker,NGO Sector
Business,Accounting,"Leadership, Financial literacy, Decision making",Communication & Collaboration,Marketing Manager,Finance
TVET,Welding,"Manual dexterity, Safety compliance, Entrepreneurship",Learning to Learn,Welder,Construction
TVET,Automotive Technology,"Customer service, Manual dexterity, Technical skills",Critical Thinking & Problem Solving,Welder,Hospitality
Business,Entrepreneurship,"Leadership, Strategic planning, Marketing analysis",Self-Efficacy,Sales Director,Corporate Sector
TVET,Carpentry,"Safety compliance, Troubleshooting, Technical skills",Self-Efficacy,Fashion Designer,Skilled Trades
Arts & Sports,Physical Education,"Design thinking, Discipline, Teamwork",Communication & Collaboration,Choreographer,Creative Arts
Arts & Sports,Film Studies,"Creativity, Teamwork, Design thinking",Self-Efficacy,Choreographer,Media
STEM,Computer Science,"Experimentation, Problem solving, Programming",Digital Literacy,Data Scientist,Technology
Social Sciences,Psychology,"Ethical reasoning, Critical thinking, Writing",Critical Thinking & Problem Solving,Economist,NGO Sector
TVET,Fashion Design,"Entrepreneurship, Technical skills, Maintenance",Learning to Learn,Construction Technician,Manufacturing
TVET,Carpentry,"Entrepreneurship, Manual dexterity, Maintenance",Self-Efficacy,Fashion Designer,Hospitality
Arts & Sports,Drama,"Design thinking, Public speaking, Performance",Self-Efficacy,Actor,Entertainment
STEM,Statistics,"Analytical reasoning, Problem solving, Research",Digital Literacy,Software Engineer,Technology
TVET,Hospitality,"Safety compliance, Troubleshooting, Manual dexterity",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
Social Sciences,Religious Studies,"Research, Critical thinking, Communication",Communication & Collaboration,Historian,NGO Sector
TVET,Fashion Design,"Entrepreneurship, Technical skills, Safety compliance",Critical Thinking & Problem Solving,Electrician,Construction
Social Sciences,Psychology,"Data interpretation, Critical thinking, Ethical reasoning",Critical Thinking & Problem Solving,Economist,Education
Arts & Sports,Music,"Public speaking, Discipline, Coordination",Creativity & Imagination,Graphic Designer,Sports Industry
TVET,Electrical Installation,"Safety compliance, Maintenance, Troubleshooting",Self-Efficacy,Fashion Designer,Construction
STEM,Mathematics,"Experimentation, Analytical reasoning, Programming",Learning to Learn,Data Scientist,Technology
STEM,Statistics,"Programming, Data analysis, Experimentation",Learning to Learn,Laboratory Technologist,Engineering
TVET,Carpentry,"Manual dexterity, Troubleshooting, Safety compliance",Critical Thinking & Problem Solving,Plumber,Construction
Arts & Sports,Drama,"Teamwork, Public speaking, Creativity",Self-Efficacy,Film Producer,Creative Arts
Business,Entrepreneurship,"Marketing analysis, Strategic planning, Leadership",Learning to Learn,Accountant,Entrepreneurship
TVET,Welding,"Safety compliance, Technical skills, Entrepreneurship",Critical Thinking & Problem Solving,Welder,Construction
STEM,Statistics,"Programming, Problem solving, Analytical reasoning",Critical Thinking & Problem Solving,Data Scientist,Environmental Services
Arts & Sports,Physical Education,"Discipline, Performance, Public speaking",Communication & Collaboration,Musician,Media
Business,Supply Chain Management,"Marketing analysis, Risk management, Strategic planning",Self-Efficacy,Business Manager,Corporate Sector
STEM,Statistics,"Research, Programming, Data analysis",Digital Literacy,Laboratory Technologist,Technology
Social Sciences,Economics,"Research, Communication, Data interpretation",Critical Thinking & Problem Solving,Counselor,Public Policy
Business,Finance,"Leadership, Negotiation, Financial literacy",Learning to Learn,Investment Analyst,Entrepreneurship
STEM,Statistics,"Research, Experimentation, Data analysis",Learning to Learn,Doctor,Environmental Services
Arts & Sports,Graphic Design,"Performance, Public speaking, Coordination",Creativity & Imagination,Musician,Sports Industry
Business,Marketing,"Marketing analysis, Financial literacy, Decision making",Self-Efficacy,Investment Analyst,Entrepreneurship
Business,Accounting,"Strategic planning, Negotiation, Leadership",Learning to Learn,Marketing Manager,Corporate Sector
Business,Commerce,"Risk management, Strategic planning, Leadership",Self-Efficacy,Investment Analyst,Corporate Sector
Arts & Sports,Drama,"Creativity, Discipline, Design thinking",Communication & Collaboration,Graphic Designer,Entertainment
Business,Entrepreneurship,"Leadership, Strategic planning, Marketing analysis",Communication & Collaboration,Sales Director,Corporate Sector
STEM,Mathematics,"Data analysis, Problem solving, Analytical reasoning",Learning to Learn,Actuary,Healthcare
Business,Commerce,"Negotiation, Decision making, Strategic planning",Learning to Learn,Sales Director,Entrepreneurship
Social Sciences,Religious Studies,"Communication, Research, Critical thinking",Citizenship,Social Worker,Public Policy
Social Sciences,Religious Studies,"Critical thinking, Research, Policy analysis",Communication & Collaboration,Social Worker,Education
Business,Entrepreneurship,"Leadership, Risk management, Decision making",Self-Efficacy,Entrepreneur,Retail
Arts & Sports,Dance,"Design thinking, Discipline, Teamwork",Communication & Collaboration,Sports Coach,Sports Industry
STEM,Mathematics,"Programming, Problem solving, Critical thinking",Learning to Learn,Civil Engineer,Engineering
Arts & Sports,Music,"Discipline, Creativity, Teamwork",Communication & Collaboration,Choreographer,Sports Industry
Business,Business Studies,"Marketing analysis, Strategic planning, Risk management",Self-Efficacy,Operations Manager,Retail
Arts & Sports,Drama,"Creativity, Teamwork, Coordination",Self-Efficacy,Choreographer,Entertainment
Business,Supply Chain Management,"Financial literacy, Risk management, Decision making",Self-Efficacy,Marketing Manager,Corporate Sector
STEM,Biology,"Critical thinking, Data analysis, Programming",Learning to Learn,Civil Engineer,Healthcare
Business,Accounting,"Decision making, Marketing analysis, Strategic planning",Self-Efficacy,Operations Manager,Entrepreneurship
Business,Business Studies,"Strategic planning, Negotiation, Financial literacy",Communication & Collaboration,Entrepreneur,Entrepreneurship
Social Sciences,Psychology,"Data interpretation, Communication, Writing",Communication & Collaboration,Economist,Government
Social Sciences,Geography,"Data interpretation, Writing, Critical thinking",Critical Thinking & Problem Solving,Social Worker,Public Policy
Business,Marketing,"Negotiation, Financial literacy, Marketing analysis",Self-Efficacy,Entrepreneur,Corporate Sector
Business,Entrepreneurship,"Negotiation, Financial literacy, Risk management",Learning to Learn,Operations Manager,Retail
Arts & Sports,Physical Education,"Coordination, Public speaking, Design thinking",Self-Efficacy,Art Director,Entertainment
Social Sciences,Political Science,"Data interpretation, Writing, Critical thinking",Critical Thinking & Problem Solving,Policy Analyst,Public Policy
Arts & Sports,Film Studies,"Coordination, Public speaking, Creativity",Communication & Collaboration,Graphic Designer,Creative Arts
Business,Finance,"Strategic planning, Decision making, Risk management",Communication & Collaboration,Accountant,Corporate Sector
TVET,Electrical Installation,"Customer service, Technical skills, Entrepreneurship",Self-Efficacy,Plumber,Hospitality
STEM,Biology,"Experimentation, Research, Data analysis",Learning to Learn,Software Engineer,Healthcare
Social Sciences,Sociology,"Data interpretation, Research, Critical thinking",Citizenship,Counselor,Public Policy
TVET,Welding,"Customer service, Troubleshooting, Technical skills",Critical Thinking & Problem Solving,Welder,Manufacturing
STEM,Chemistry,"Research, Analytical reasoning, Programming",Digital Literacy,Data Scientist,Healthcare
TVET,Fashion Design,"Manual dexterity, Customer service, Maintenance",Critical Thinking & Problem Solving,Plumber,Hospitality
TVET,Hospitality,"Entrepreneurship, Troubleshooting, Customer service",Learning to Learn,Welder,Hospitality
STEM,Physics,"Problem solving, Research, Analytical reasoning",Learning to Learn,Software Engineer,Healthcare
Arts & Sports,Fine Art,"Coordination, Creativity, Design thinking",Self-Efficacy,Art Director,Entertainment
Arts & Sports,Film Studies,"Teamwork, Performance, Design thinking",Creativity & Imagination,Musician,Media
Arts & Sports,Film Studies,"Teamwork, Performance, Creativity",Communication & Collaboration,Sports Coach,Sports Industry
STEM,Physics,"Critical thinking, Problem solving, Programming",Learning to Learn,Civil Engineer,Engineering
TVET,Fashion Design,"Maintenance, Manual dexterity, Customer service",Critical Thinking & Problem Solving,Auto Mechanic,Construction
TVET,Carpentry,"Technical skills, Manual dexterity, Entrepreneurship",Learning to Learn,Hotel Manager,Manufacturing
Arts & Sports,Drama,"Performance, Public speaking, Teamwork",Creativity & Imagination,Art Director,Sports Industry
Social Sciences,Sociology,"Ethical reasoning, Writing, Policy analysis",Citizenship,Economist,NGO Sector
TVET,Fashion Design,"Manual dexterity, Maintenance, Customer service",Learning to Learn,Plumber,Skilled Trades
STEM,Biology,"Experimentation, Critical thinking, Research",Digital Literacy,Actuary,Environmental Services
Business,Accounting,"Strategic planning, Leadership, Financial literacy",Communication & Collaboration,Entrepreneur,Retail
Social Sciences,History,"Communication, Data interpretation, Writing",Communication & Collaboration,Social Worker,Education
Business,Supply Chain Management,"Risk management, Decision making, Marketing analysis",Self-Efficacy,Operations Manager,Entrepreneurship
TVET,Plumbing,"Safety compliance, Entrepreneurship, Manual dexterity",Critical Thinking & Problem Solving,Electrician,Construction
STEM,Mathematics,"Experimentation, Data analysis, Critical thinking",Learning to Learn,Doctor,Technology
TVET,Carpentry,"Maintenance, Technical skills, Manual dexterity",Critical Thinking & Problem Solving,Electrician,Hospitality
Business,Marketing,"Financial literacy, Strategic planning, Decision making",Communication & Collaboration,Accountant,Finance
TVET,Hospitality,"Customer service, Safety compliance, Manual dexterity",Learning to Learn,Auto Mechanic,Skilled Trades
Business,Commerce,"Marketing analysis, Strategic planning, Decision making",Self-Efficacy,Marketing Manager,Retail
Social Sciences,Geography,"Writing, Critical thinking, Communication",Critical Thinking & Problem Solving,Counselor,Government
Social Sciences,Sociology,"Communication, Research, Writing",Critical Thinking & Problem Solving,Diplomat,NGO Sector
Social Sciences,Sociology,"Communication, Writing, Research",Citizenship,Diplomat,Education
STEM,Chemistry,"Analytical reasoning, Critical thinking, Data analysis",Digital Literacy,Data Scientist,Technology
Business,Marketing,"Strategic planning, Marketing analysis, Negotiation",Communication & Collaboration,Accountant,Entrepreneurship
TVET,Electrical Installation,"Customer service, Entrepreneurship, Technical skills",Self-Efficacy,Hotel Manager,Skilled Trades
TVET,Carpentry,"Manual dexterity, Troubleshooting, Safety compliance",Critical Thinking & Problem Solving,Auto Mechanic,Manufacturing
Social Sciences,Sociology,"Data interpretation, Ethical reasoning, Policy analysis",Critical Thinking & Problem Solving,Counselor,Public Policy
Social Sciences,Economics,"Critical thinking, Ethical reasoning, Policy analysis",Critical Thinking & Problem Solving,Economist,Government
TVET,Electrical Installation,"Safety compliance, Troubleshooting, Maintenance",Self-Efficacy,Hotel Manager,Hospitality
Social Sciences,Geography,"Ethical reasoning, Data interpretation, Communication",Citizenship,Economist,Public Policy
Social Sciences,Psychology,"Policy analysis, Communication, Critical thinking",Citizenship,Historian,Public Policy
TVET,Automotive Technology,"Technical skills, Troubleshooting, Customer service",Self-Efficacy,Construction Technician,Construction
Social Sciences,Political Science,"Critical thinking, Communication, Policy analysis",Communication & Collaboration,Historian,Government
TVET,Plumbing,"Technical skills, Troubleshooting, Entrepreneurship",Learning to Learn,Welder,Hospitality
STEM,Chemistry,"Problem solving, Analytical reasoning, Experimentation",Critical Thinking & Problem Solving,Doctor,Technology
TVET,Plumbing,"Safety compliance, Customer service, Manual dexterity",Critical Thinking & Problem Solving,Electrician,Manufacturing
STEM,Chemistry,"Critical thinking, Programming, Analytical reasoning",Critical Thinking & Problem Solving,Data Scientist,Environmental Services
Social Sciences,Political Science,"Research, Ethical reasoning, Communication",Citizenship,Policy Analyst,NGO Sector
TVET,Plumbing,"Maintenance, Technical skills, Entrepreneurship",Learning to Learn,Fashion Designer,Construction
Social Sciences,Psychology,"Ethical reasoning, Policy analysis, Data interpretation",Critical Thinking & Problem Solving,Social Worker,Public Policy
Social Sciences,History,"Critical thinking, Communication, Research",Citizenship,Diplomat,NGO Sector
Social Sciences,Geography,"Communication, Ethical reasoning, Writing",Critical Thinking & Problem Solving,Urban Planner,Public Policy
TVET,Carpentry,"Safety compliance, Customer service, Technical skills",Learning to Learn,Plumber,Manufacturing
Social Sciences,History,"Critical thinking, Policy analysis, Research",Citizenship,Policy Analyst,Government
Arts & Sports,Fine Art,"Public speaking, Teamwork, Coordination",Creativity & Imagination,Sports Coach,Entertainment
Social Sciences,Geography,"Data interpretation, Research, Policy analysis",Citizenship,Economist,NGO Sector
Social Sciences,Geography,"Ethical reasoning, Critical thinking, Policy analysis",Communication & Collaboration,Policy Analyst,Government
Social Sciences,Religious Studies,"Data interpretation, Policy analysis, Ethical reasoning",Communication & Collaboration,Economist,NGO Sector
STEM,Physics,"Analytical reasoning, Data analysis, Critical thinking",Critical Thinking & Problem Solving,Civil Engineer,Engineering
STEM,Mathematics,"Problem solving, Programming, Critical thinking",Digital Literacy,Laboratory Technologist,Engineering
Arts & Sports,Music,"Performance, Coordination, Design thinking",Creativity & Imagination,Art Director,Entertainment
STEM,Mathematics,"Programming, Experimentation, Problem solving",Critical Thinking & Problem Solving,Environmental Analyst,Healthcare
Social Sciences,Economics,"Communication, Writing, Critical thinking",Critical Thinking & Problem Solving,Policy Analyst,Government
STEM,Statistics,"Critical thinking, Programming, Analytical reasoning",Learning to Learn,Actuary,Engineering
Business,Supply Chain Management,"Negotiation, Leadership, Risk management",Communication & Collaboration,Accountant,Corporate Sector
TVET,Hospitality,"Entrepreneurship, Technical skills, Troubleshooting",Learning to Learn,Fashion Designer,Construction
STEM,Computer Science,"Research, Critical thinking, Experimentation",Critical Thinking & Problem Solving,Laboratory Technologist,Environmental Services
TVET,Welding,"Maintenance, Customer service, Troubleshooting",Learning to Learn,Welder,Manufacturing
TVET,Welding,"Maintenance, Customer service, Safety compliance",Critical Thinking & Problem Solving,Welder,Manufacturing
STEM,Physics,"Analytical reasoning, Programming, Experimentation",Learning to Learn,Laboratory Technologist,Healthcare
Arts & Sports,Film Studies,"Creativity, Public speaking, Teamwork",Creativity & Imagination,Musician,Entertainment
Social Sciences,History,"Communication, Data interpretation, Research",Citizenship,Historian,Public Policy
STEM,Statistics,"Analytical reasoning, Critical thinking, Research",Learning to Learn,Civil Engineer,Engineering
Business,Entrepreneurship,"Marketing analysis, Strategic planning, Negotiation",Learning to Learn,Accountant,Retail
Arts & Sports,Drama,"Public speaking, Design thinking, Performance",Self-Efficacy,Sports Coach,Media
Arts & Sports,Dance,"Performance, Teamwork, Creativity",Creativity & Imagination,Choreographer,Media
Arts & Sports,Dance,"Creativity, Performance, Coordination",Communication & Collaboration,Graphic Designer,Creative Arts
TVET,Automotive Technology,"Manual dexterity, Entrepreneurship, Technical skills",Critical Thinking & Problem Solving,Fashion Designer,Skilled Trades
Social Sciences,Sociology,"Writing, Policy analysis, Communication",Communication & Collaboration,Counselor,Government
TVET,Welding,"Safety compliance, Manual dexterity, Maintenance",Self-Efficacy,Plumber,Skilled Trades
Business,Business Studies,"Financial literacy, Leadership, Decision making",Learning to Learn,Entrepreneur,Corporate Sector
TVET,Hospitality,"Entrepreneurship, Safety compliance, Customer service",Critical Thinking & Problem Solving,Fashion Designer,Hospitality
Arts & Sports,Fine Art,"Coordination, Creativity, Teamwork",Communication & Collaboration,Graphic Designer,Sports Industry
STEM,Mathematics,"Problem solving, Analytical reasoning, Data analysis",Learning to Learn,Doctor,Technology
STEM,Physics,"Data analysis, Problem solving, Analytical reasoning",Critical Thinking & Problem Solving,Doctor,Technology
TVET,Automotive Technology,"Customer service, Safety compliance, Troubleshooting",Learning to Learn,Construction Technician,Manufacturing
Business,Business Studies,"Negotiation, Strategic planning, Leadership",Communication & Collaboration,Business Manager,Entrepreneurship
Business,Finance,"Decision making, Leadership, Marketing analysis",Learning to Learn,Operations Manager,Finance
TVET,Carpentry,"Technical skills, Safety compliance, Troubleshooting",Self-Efficacy,Construction Technician,Manufacturing
TVET,Hospitality,"Manual dexterity, Customer service, Maintenance",Self-Efficacy,Fashion Designer,Manufacturing
TVET,Fashion Design,"Maintenance, Customer service, Troubleshooting",Critical Thinking & Problem Solving,Electrician,Skilled Trades
STEM,Chemistry,"Experimentation, Research, Problem solving",Digital Literacy,Doctor,Environmental Services
Social Sciences,Geography,"Writing, Research, Critical thinking",Communication & Collaboration,Counselor,Government
Social Sciences,Religious Studies,"Data interpretation, Ethical reasoning, Research",Citizenship,Historian,Government
Business,Business Studies,"Decision making, Risk management, Marketing analysis",Self-Efficacy,Marketing Manager,Finance
TVET,Hospitality,"Troubleshooting, Technical skills, Maintenance",Learning to Learn,Electrician,Skilled Trades
Arts & Sports,Dance,"Performance, Public speaking, Creativity",Creativity & Imagination,Art Director,Media
TVET,Carpentry,"Customer service, Troubleshooting, Entrepreneurship",Critical Thinking & Problem Solving,Electrician,Construction
Social Sciences,Geography,"Critical thinking, Communication, Ethical reasoning",Communication & Collaboration,Economist,Education
TVET,Plumbing,"Maintenance, Safety compliance, Manual dexterity",Critical Thinking & Problem Solving,Hotel Manager,Hospitality
STEM,Environmental Science,"Programming, Research, Critical thinking",Digital Literacy,Civil Engineer,Environmental Services
Arts & Sports,Drama,"Creativity, Design thinking, Coordination",Self-Efficacy,Musician,Entertainment
Arts & Sports,Drama,"Design thinking, Creativity, Performance",Self-Efficacy,Actor,Creative Arts
STEM,Environmental Science,"Research, Data analysis, Analytical reasoning",Critical Thinking & Problem Solving,Data Scientist,Environmental Services
STEM,Environmental Science,"Experimentation, Critical thinking, Research",Critical Thinking & Problem Solving,Doctor,Engineering
Social Sciences,Economics,"Writing, Communication, Policy analysis",Critical Thinking & Problem Solving,Counselor,NGO Sector
Social Sciences,Religious Studies,"Writing, Research, Data interpretation",Citizenship,Economist,Public Policy
Arts & Sports,Music,"Public speaking, Design thinking, Coordination",Creativity & Imagination,Sports Coach,Media
TVET,Welding,"Safety compliance, Troubleshooting, Entrepreneurship",Critical Thinking & Problem Solving,Electrician,Manufacturing
Business,Entrepreneurship,"Decision making, Strategic planning, Negotiation",Learning to Learn,Investment Analyst,Entrepreneurship
Business,Entrepreneurship,"Marketing analysis, Strategic planning, Leadership",Communication & Collaboration,Business Manager,Finance
STEM,Chemistry,"Research, Data analysis, Experimentation",Critical Thinking & Problem Solving,Civil Engineer,Engineering
TVET,Welding,"Safety compliance, Manual dexterity, Customer service",Learning to Learn,Welder,Hospitality
Business,Commerce,"Leadership, Decision making, Financial literacy",Self-Efficacy,Accountant,Entrepreneurship
STEM,Environmental Science,"Experimentation, Research, Critical thinking",Digital Literacy,Data Scientist,Healthcare
Arts & Sports,Physical Education,"Creativity, Performance, Design thinking",Communication & Collaboration,Graphic Designer,Creative Arts
Social Sciences,History,"Writing, Ethical reasoning, Research",Citizenship,Social Worker,NGO Sector
Social Sciences,Political Science,"Ethical reasoning, Communication, Data interpretation",Citizenship,Historian,Education
STEM,Biology,"Programming, Analytical reasoning, Experimentation",Learning to Learn,Doctor,Healthcare
STEM,Chemistry,"Research, Programming, Critical thinking",Learning to Learn,Laboratory Technologist,Engineering
Business,Accounting,"Leadership, Marketing analysis, Strategic planning",Learning to Learn,Marketing Manager,Entrepreneurship
TVET,Hospitality,"Customer service, Safety compliance, Troubleshooting",Self-Efficacy,Plumber,Construction
Arts & Sports,Drama,"Creativity, Discipline, Teamwork",Self-Efficacy,Choreographer,Entertainment
TVET,Fashion Design,"Safety compliance, Entrepreneurship, Technical skills",Learning to Learn,Construction Technician,Construction
TVET,Automotive Technology,"Safety compliance, Customer service, Troubleshooting",Learning to Learn,Plumber,Hospitality
TVET,Fashion Design,"Entrepreneurship, Safety compliance, Technical skills",Critical Thinking & Problem Solving,Welder,Hospitality
TVET,Carpentry,"Manual dexterity, Troubleshooting, Maintenance",Self-Efficacy,Plumber,Hospitality
Business,Accounting,"Leadership, Risk management, Marketing analysis",Communication & Collaboration,Marketing Manager,Retail
Social Sciences,Sociology,"Ethical reasoning, Writing, Data interpretation",Communication & Collaboration,Social Worker,NGO Sector
STEM,Physics,"Programming, Critical thinking, Analytical reasoning",Critical Thinking & Problem Solving,Data Scientist,Healthcare
TVET,Welding,"Customer service, Maintenance, Technical skills",Self-Efficacy,Hotel Manager,Manufacturing
Arts & Sports,Fine Art,"Performance, Teamwork, Creativity",Self-Efficacy,Sports Coach,Sports Industry
TVET,Carpentry,"Customer service, Entrepreneurship, Troubleshooting",Critical Thinking & Problem Solving,Auto Mechanic,Hospitality
TVET,Electrical Installation,"Technical skills, Customer service, Entrepreneurship",Self-Efficacy,Construction Technician,Construction
STEM,Chemistry,"Research, Programming, Analytical reasoning",Learning to Learn,Laboratory Technologist,Engineering
Business,Accounting,"Marketing analysis, Leadership, Negotiation",Learning to Learn,Business Manager,Entrepreneurship
Business,Supply Chain Management,"Negotiation, Leadership, Strategic planning",Communication & Collaboration,Sales Director,Corporate Sector
Arts & Sports,Physical Education,"Design thinking, Creativity, Teamwork",Communication & Collaboration,Film Producer,Entertainment
Social Sciences,Sociology,"Policy analysis, Writing, Communication",Critical Thinking & Problem Solving,Urban Planner,Education
TVET,Carpentry,"Customer service, Manual dexterity, Troubleshooting",Self-Efficacy,Construction Technician,Construction
Social Sciences,Geography,"Critical thinking, Research, Policy analysis",Communication & Collaboration,Diplomat,NGO Sector
Social Sciences,Psychology,"Ethical reasoning, Policy analysis, Data interpretation",Critical Thinking & Problem Solving,Policy Analyst,NGO Sector
TVET,Hospitality,"Maintenance, Technical skills, Safety compliance",Self-Efficacy,Fashion Designer,Manufacturing
STEM,Environmental Science,"Experimentation, Analytical reasoning, Problem solving",Learning to Learn,Data Scientist,Environmental Services
TVET,Carpentry,"Manual dexterity, Safety compliance, Troubleshooting",Self-Efficacy,Hotel Manager,Hospitality
STEM,Statistics,"Programming, Problem solving, Research",Learning to Learn,Doctor,Environmental Services
STEM,Computer Science,"Critical thinking, Research, Programming",Digital Literacy,Data Scientist,Environmental Services
STEM,Biology,"Experimentation, Programming, Analytical reasoning",Learning to Learn,Software Engineer,Healthcare
Business,Business Studies,"Decision making, Leadership, Negotiation",Communication & Collaboration,Investment Analyst,Retail
Social Sciences,Economics,"Writing, Policy analysis, Critical thinking",Communication & Collaboration,Urban Planner,Public Policy
Social Sciences,Geography,"Ethical reasoning, Data interpretation, Policy analysis",Critical Thinking & Problem Solving,Social Worker,NGO Sector
STEM,Environmental Science,"Analytical reasoning, Data analysis, Programming",Learning to Learn,Software Engineer,Healthcare
STEM,Mathematics,"Data analysis, Critical thinking, Experimentation",Critical Thinking & Problem Solving,Environmental Analyst,Technology
Social Sciences,Sociology,"Writing, Ethical reasoning, Data interpretation",Critical Thinking & Problem Solving,Policy Analyst,Education
Social Sciences,Political Science,"Research, Communication, Policy analysis",Communication & Collaboration,Policy Analyst,Government
Arts & Sports,Physical Education,"Teamwork, Public speaking, Performance",Communication & Collaboration,Musician,Entertainment
Arts & Sports,Physical Education,"Discipline, Performance, Coordination",Communication & Collaboration,Sports Coach,Creative Arts
Social Sciences,History,"Policy analysis, Research, Writing",Critical Thinking & Problem Solving,Urban Planner,Government
Social Sciences,Economics,"Research, Communication, Data interpretation",Critical Thinking & Problem Solving,Urban Planner,Government
Social Sciences,History,"Research, Data interpretation, Critical thinking",Communication & Collaboration,Counselor,Education
TVET,Welding,"Troubleshooting, Manual dexterity, Maintenance",Self-Efficacy,Welder,Construction
Business,Marketing,"Leadership, Risk management, Financial literacy",Self-Efficacy,Business Manager,Corporate Sector
TVET,Fashion Design,"Manual dexterity, Customer service, Troubleshooting",Critical Thinking & Problem Solving,Plumber,Skilled Trades
TVET,Carpentry,"Entrepreneurship, Safety compliance, Manual dexterity",Learning to Learn,Welder,Construction
Social Sciences,Geography,"Data interpretation, Communication, Critical thinking",Critical Thinking & Problem Solving,Counselor,NGO Sector
Arts & Sports,Dance,"Teamwork, Performance, Design thinking",Creativity & Imagination,Musician,Media
Social Sciences,Political Science,"Ethical reasoning, Writing, Critical thinking",Citizenship,Urban Planner,NGO Sector
Social Sciences,Geography,"Policy analysis, Ethical reasoning, Research",Critical Thinking & Problem Solving,Diplomat,Public Policy
TVET,Carpentry,"Entrepreneurship, Manual dexterity, Technical skills",Self-Efficacy,Construction Technician,Skilled Trades
Arts & Sports,Physical Education,"Public speaking, Discipline, Teamwork",Self-Efficacy,Actor,Sports Industry
TVET,Hospitality,"Technical skills, Troubleshooting, Manual dexterity",Self-Efficacy,Plumber,Hospitality
Arts & Sports,Graphic Design,"Design thinking, Coordination, Performance",Creativity & Imagination,Graphic Designer,Sports Industry
Business,Entrepreneurship,"Risk management, Strategic planning, Leadership",Communication & Collaboration,Sales Director,Finance
STEM,Mathematics,"Experimentation, Data analysis, Research",Learning to Learn,Data Scientist,Environmental Services
Business,Commerce,"Strategic planning, Financial literacy, Risk management",Communication & Collaboration,Accountant,Finance
Business,Supply Chain Management,"Strategic planning, Leadership, Financial literacy",Self-Efficacy,Operations Manager,Retail
TVET,Electrical Installation,"Entrepreneurship, Troubleshooting, Technical skills",Critical Thinking & Problem Solving,Plumber,Hospitality
TVET,Automotive Technology,"Safety compliance, Technical skills, Customer service",Learning to Learn,Electrician,Manufacturing
STEM,Mathematics,"Critical thinking, Programming, Analytical reasoning",Learning to Learn,Software Engineer,Engineering
Social Sciences,Political Science,"Writing, Critical thinking, Ethical reasoning",Critical Thinking & Problem Solving,Economist,Education
Business,Business Studies,"Financial literacy, Negotiation, Strategic planning",Learning to Learn,Business Manager,Corporate Sector
STEM,Chemistry,"Analytical reasoning, Programming, Experimentation",Critical Thinking & Problem Solving,Environmental Analyst,Engineering
Social Sciences,Psychology,"Ethical reasoning, Writing, Critical thinking",Citizenship,Social Worker,NGO Sector
